mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Jaraguá do Sul,Santo Antônio,casa,venda,4857.1,3809.5,5984.6,29,,agosto/2026
2026-08,Jaraguá do Sul,São Luís,casa,venda,5194.2,4043.5,6500.0,85,8.41,agosto/2026
2026-08,Jaraguá do Sul,São Luís,casa,aluguel,36.4,33.1,40.9,6,8.41,agosto/2026
2026-08,Jaraguá do Sul,Tifa Martins,casa,venda,4905.3,3817.4,5992.8,88,,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Norte,casa,venda,5275.1,4487.2,6161.5,227,7.62,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Norte,casa,aluguel,33.5,28.7,38.0,13,7.62,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Sul,casa,venda,5608.2,4954.9,6672.3,104,7.53,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Sul,casa,aluguel,35.2,29.3,37.6,7,7.53,agosto/2026
2026-08,Jaraguá do Sul,Vieira,casa,venda,6186.3,5322.5,7280.6,10,,agosto/2026
2026-08,Jaraguá do Sul,Vila Chartres,casa,venda,7748.0,7686.9,8554.6,5,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lalau,casa,venda,5593.2,4826.9,6729.2,48,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,casa,venda,5265.8,4239.1,6950.2,106,6.97,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,casa,aluguel,30.6,28.2,33.8,17,6.97,agosto/2026
2026-08,Jaraguá do Sul,Vila Nova,casa,venda,7448.1,5637.8,10333.4,56,5.75,agosto/2026
2026-08,Jaraguá do Sul,Vila Nova,casa,aluguel,35.7,28.4,38.3,8,5.75,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,terreno,venda,989.2,840.2,1123.5,14,,agosto/2026
2026-08,Jaraguá do Sul,Amizade,terreno,venda,1225.5,933.3,1460.1,81,,agosto/2026
2026-08,Jaraguá do Sul,Baependi,terreno,venda,1443.2,1197.7,1772.9,21,,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,terreno,venda,862.1,392.8,1212.3,75,,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,terreno,venda,1135.3,1003.5,1299.6,14,,agosto/2026
